label,speech
일반적인 말,다른 사람들과 노는 게 좋구나
행동 묘사,차를 운전하고 있구나
반영,네 말이 노란색 이랑 빨간색이구나
지시,블럭을 주면 너랑 놀게
일반적인 말,이거 가지고 놀거야
일반적인 말,저녁은 집에서 먹을거야
일반적인 말,저 소들은 배가 고프구나
일반적인 말,나는 보라색을 좋아해
행동 묘사,점프하고 있구나
반영,그것은 소구나
반영,맞네 기억나 너가 기린을 제일 좋아해 
구체적인 칭찬,파이를 멋지게 만들었네
반영,사과를 골랐어
반영,웃기구나
질문,네가 할래
행동 묘사,두 자동차로 경주를 하고 있구나
부정적인 말,그거 거기에 놓는거 아니야
지시,다음에 비를 써
부정적인 말,의자에서 벗어나지마
일반적인 말,오 저기 파란색이 있고 바닥에 초록색이 있어
반영,응 그녀는 블럭을 가지고 있어
일반적인 말,이제 한 곳에 모으고 작은 것들을 꺼내서 이렇게 같이 묶을거야
질문,우리는 아주 좋은 시간을 보내고 있어 그렇지
구체적인 칭찬,아주 친절하게 잘 놀고 있구나
일반적인 말,나는 블루보닛을 그리고 있어
행동 묘사,너는 지금 보라색 타일을 가지고 있네
구체적인 칭찬,눈을 잘 찾았어
질문,이거 한번 보여줄래
부정적인 말,너는 항상 물건을 넘어뜨리는구나
질문,이 인형을 거실 소파에 놔도 될까
일반적인 말,저기서 블럭을 가져올 수 있어
지시,빨리해
일반적인 칭찬,아주 잘했어
일반적인 말,맞아
일반적인 말,그건 파란색이야
구체적인 칭찬,네가 예절을 잘 지킬 때 참 좋아
반영,새것이구나
지시,동그라미를 그려
부정적인 말,아니야 틀렸어
구체적인 칭찬,우와 나와 장난감을 함께 사용하는 것을 정말 잘했어
행동 묘사,만들고 있구나
일반적인 말,마실 것이 필요해
질문,어떻게
질문,빨간색을 원하니
일반적인 말,블럭이 쌓여있어
반영,없어
행동 묘사,크레용으로 열심히 색칠하고 있구나
지시,이게 무슨 글자인지 말해줘
지시,앉으라고 했어
지시,이걸 사용하면서 그대로 있어
부정적인 말,방을 어지럽히고 있어
행동 묘사,동그라미를 만들었구나
구체적인 칭찬,장난감을 던지지 않은 것 잘했어
반영,자동차와 트럭을 나란히 옆에 두었구나
구체적인 칭찬,그렇게 같이 두니 멋지다
부정적인 말,좋은 행동을 계속 하지 않으면 저녁에 텔레비전 못봐
반영,하트를 그렸구나
질문,내가 너랑 같이 놀기를 원하니
반영,연결하는 부분이 어디있는지 알고 싶구나
지시,내 옆에 있는 이 의자에 앉아
행동 묘사,초록색으로 색칠하고 있구나
지시,이름 쓰는 걸 완성해줘
질문,영화에 나왔던 것 같지
질문,어떻게 우유를 마셔야할까
일반적인 말,아주 멋진 타워네
일반적인 말,파란색은 저 쪽에 있어
지시,다른 장난감을 가지고 놀자
일반적인 말,그 타워 정말 높다
행동 묘사,공주님을 재우고 있구나
일반적인 말,이거 집에도 하나 두면 좋겠어
일반적인 말,난 만들기를 좋아해
일반적인 말,너랑 같이 게임하니 재미있다
질문,테이블 아래 있어 기억나
일반적인 말,나는 슬퍼
지시,레고를 가지로 놀자
질문,그거 찾았어
일반적인 칭찬,잘했어
지시,자동차를 박스 안에 넣어줘
구체적인 칭찬,빌딩을 잘 만들고 있구나
구체적인 칭찬,집을 잘 완성 했어
부정적인 말,팔을 여기에 넣는게 맞니
반영,그가 최고구나 좋아
지시,더 높게 만들어
행동 묘사,블럭을 사용해 만들고 있어
지시,너도 해야할 거 같아
지시,이제 합쳐 주세요
지시,가져가
일반적인 말,감자튀김은 접시에 놔야해
일반적인 말,내 강아지는 갈색이야
지시,음식 놀이 하자
구체적인 칭찬,귀기울여 듣는 것 잘했어
반영,오 한 조각 더 있구나
반영,진짜 크다 그래
지시,서둘러줘
구체적인 칭찬,자켓 벗은 것 잘했어
일반적인 칭찬,우와 멋지다
행동 묘사,주걱으로 음식을 뜨고 있구나
구체적인 칭찬,아주 잘 앉아 있구나
일반적인 말,기차
행동 묘사,토끼를 그리고 있구나
구체적인 칭찬,장난감을 거기에 둔 것 잘했어
질문,엠 다음에 어떤 글자가 오지
질문,레고를 가지고 놀고 싶구나
일반적인 말,핑크색으로 그렸네
일반적인 말,이제 장난감을 정리 할 시간이야
지시,거기에 둬
지시,그거 나한테 줘
구체적인 칭찬,장난감을 줘서 고마워
일반적인 말,남자아이도 초록색 자동차 안에 있구나
행동 묘사,우리 집 같은 집을 그리고 있구나
부정적인 말,안돼 충돌하면 사람들이 다칠 수 있어
행동 묘사,핑크색 크레용을 사용하고 있구나
질문,뭐라고 해야하니
일반적인 말,도넛을 거의 떨어뜨릴 뻔 했어
반영,그래 동물원에 가자
반영,찰흙놀이가 하고 싶구나
부정적인 말,짜증나게 하지 마
구체적인 칭찬,노래를 잘하는구나
지시,입에서 빼렴
일반적인 말,여기 또 통나무가 있어
질문,이 장난감 가지고 논 적 있니
부정적인 말,집에서는 절대 이렇게 잘 색칠하지 않았잖아
구체적인 칭찬,웃는게 예쁘다
지시,나에게 마커펜을 줘
반영,쿠몬스터를 찾아서 기쁘구나
일반적인 말,나도 어린시절에 그림을 많이 그렸었어
일반적인 말,나도 만들어야겠다
부정적인 말,그만이라고 했어
구체적인 칭찬,색칠 잘 했어
일반적인 말,나도 망치를 사용하고 싶어
행동 묘사,집을 찾았구나
반영,와플이구나
구체적인 칭찬,그렇게 한게 멋지다
반영,네가 그것을 좋아하는구나
일반적인 칭찬,멋지다
구체적인 칭찬,내 옆에 앉아 있는 것 잘했어
지시,완두콩으로 뭘 할 수 있는지 보여줘
질문,어디 가니
일반적인 말,나이가 든 아빠네
일반적인 말,우리에게 몬스터 트럭이 충분히 있어
행동 묘사,미스터 포테이토에게 팔을 붙여줬구나
행동 묘사,오 더 붙였구나
부정적인 말,이상해보이는구나
행동 묘사,집을 그리고 있구나
행동 묘사,레고로 무늬를 만들고 있구나
부정적인 말,부모님에게 나쁜말을 하면 안돼
일반적인 말,그 자동차는 파란색이야
부정적인 말,앉지 않으면 매를 들거야
질문,자동차 몇 대를 가지고 있니
반영,오 먼저 먹자
부정적인 말,멍청하게 굴지마
질문,그녀의 요정 이름은 뭐니
부정적인 말,그 생각 별로인거 같아
지시,이걸 사용하면 거기 밀어 넣을 수 있을거야
행동 묘사,인형의 집 그만 가지고 놀아
질문,이거 찾았는데 이게 뭐지
행동 묘사,높은 타워를 만들고 있어
행동 묘사,손에 소를 가지고 있구나
반영,자동차 화이팅이라고 응원하고 있어
부정적인 말,너무 세게 누르지마
행동 묘사,찰흙을 가지고 놀고 있구나
지시,장난감 전부 통에 집어넣어
반영,아쉽네
반영,거기에 두고 싶구나
일반적인 말,여기 여섯조각이 있어
지시,뱉어
구체적인 칭찬,그러게 하는 거 아주 잘 하고 있어 좋아
일반적인 말,스스로 뿌듯해하고 있구나
지시,이거 하자
지시,더 추가해
질문,무엇을 만들었니
질문,자동차들을 치울거야
질문,다음엔 무엇을 하고 싶니
반영,너가 그럴 만들거야
부정적인 말,인형 때문에 화나고 우는 것은 좋지 않아
일반적인 말,주황색을 가지고 놀 거야
지시,네 차례야 게임을 골라
구체적인 칭찬,멋진 게임을 만들었구나
부정적인 말,그거 거기에 놓는거 아니야
일반적인 칭찬,고마워
부정적인 말,빌려주지 않으니 이기적이구나
반영,멋진 하루였구나
지시,인형 집을 정리해
행동 묘사,가까이 서있구나
행동 묘사,팔을 끼우고 있구나
지시,나도 함께 놀자
반영,뱀을 동그라미로 그렸구나
질문,그런거야
반영,모두구나
부정적인 말,짜증나다
행동 묘사,차를 밀고 있구나
질문,그게 어떤 글자인지 아니
일반적인 말,그럼 휴지 여기있어
행동 묘사,정리노래를 부르고 있구나
일반적인 말,멋진 장난감이구나
행동 묘사,인형을 의자에 앉혔구나
구체적인 칭찬,멋진 모터 소리를 내는구나
구체적인 칭찬,장난감을 가지고 잘 놀고 있구나
부정적인 말,교회에서 네 남동생처럼 좀 할 수 없니
행동 묘사,소를 외양간에 넣었구나
지시,지금 정리를 마치지 않으면 오늘 밤 외출금지야
부정적인 말,그거 던지면 뒤에서 널 차버릴거야
질문,네 자동차는 얼마나 빠르니
일반적인 말,나는 만들고 있어
부정적인 말,어지르지마
일반적인 말,음 나도 우리 엄마 아빠 이야기를 항상 듣지는 않는 걸
일반적인 말,짧은 게 더 필요해
부정적인 말,장난감을 그렇게 가지고 놀지마
일반적인 말,그것은 세모야
일반적인 말,게임을 하는 것이 좋구나
일반적인 칭찬,멋져
일반적인 말,어떻게 그릴지 몰라
행동 묘사,뚜껑을 올리고 있구나
지시,이 눈들을 사용해줘
행동 묘사,음식을 테이블 위해 올리고 있구나
일반적인 말,치타는 아주 빠르게 달려
부정적인 말,그건 공손하지 않아
반영,어려워 보이는구나
행동 묘사,찰흙을 뭉치고 있구나
부정적인 말,모두 다 틀리게 한 것 같아
반영,안돼라고 말했어
질문,다 하고 나면 텔레비전 봐도 돼
일반적인 말,자동차가 빠르게 달리고 있어
일반적인 말,여기 레고가 있어
구체적인 칭찬,타워를 만든 것 잘했어
지시,계속 하라고 했어
일반적인 말,양동이를 보고 한 숨을 쉬는구나
행동 묘사,이제 타워를 만들고 있구나
질문,이제 무슨 놀이를 하고 싶니
질문,어디게 놓아야하니
질문,소는 어떤 소리를 내지
지시,여기 다시 와
지시,테이블에 앉아
구체적인 칭찬,상상력이 풍부하구나
행동 묘사,눈을 그쪽에 두는구나
질문,블럭 쌓기 지금 할래
일반적인 말,놀이 마치고 갈거야
구체적인 칭찬,도와줘서 고마워
지시,놀이를 계속 하려면 초록색 블럭을 줘
지시,봐바
일반적인 말,우와 이건 출발하려고 하네
질문,오 나는
질문,오 그건 뭐야
행동 묘사,자동차를 굴리고 있구나
지시,가서 그네를 타자
부정적인 말,그렇게 하지마
질문,산타할아버지가 뭘 주셨니
일반적인 말,그거 거기에 놓는 거 별로야
일반적인 말,응 하지만 매운 음식은 배를 아프게 할 수 있어
구체적인 칭찬,네가 고른 농장 동물들이 멋지다
일반적인 말,삼
반영,거북이를 골랐구나
일반적인 말,멋진 트럭들이 많구나
행동 묘사,라이언이 블럭 놀이를 하고 있구나
일반적인 말,멋진 트럭들이다
부정적인 말,그것은 좋지 않아
일반적인 말,레고 놀이를 하고 있어
반영,장난감을 더 가져 올 것이구나
일반적인 말,영양가가 있구나
일반적인 말,여기도 하나 더 있어
일반적인 말,빠르다
지시,시작
부정적인 말,우리 잘 못했다
일반적인 말,집에서 레고 놀이하는 걸 좋아하는구나
반영,타워를 만들었구나
부정적인 말,네가 말하는 방식이 마음에 들지 않는구나
구체적인 칭찬,오늘 경청 한 것 잘했어
반영,바퀴가 빠졌구나
일반적인 말,파란색 크레용을 사용할거야
질문,내가 도와줄게 알겠지
일반적인 말,이 장난감들이 좋아
부정적인 말,너는 내가 말한 것을 하지 않았어
반영,이가 있구나
일반적인 칭찬,잘했어
지시,맨 위를 들어서 정리해
질문,그거 엄마야
질문,누구야
부정적인 말,너무 목소리가 크다
반영,과일을 좋아하는구나
행동 묘사,장난감을 정리하고 있구나
행동 묘사,나무를 초록색으로 색칠하고 있구나
부정적인 말,그거 거기에 두는거 아니야
일반적인 말,발 쪽을 켜면 밑으로 내려가
질문,왜
반영,그 조각들은 서로 맞구나
구체적인 칭찬,집이 멋지다
구체적인 칭찬,선 안에 있는 것 잘했어
질문,그걸 먹어
행동 묘사,그 자동차를 운전하고 있구나
반영,멍멍
일반적인 말,트럭 놀이를 하고 싶구나
구체적인 칭찬,그건 멋진 생각이야
질문,오 쟁반이 있으면 좋겠지 않니
반영,털이 많은 고양이를 그렸구나
일반적인 말,집에 도착하면 저녁을 만들거야
부정적인 말,"난 그거 먹기 싫어 스파게티랑 케찹은 어울리지 않아 
"
일반적인 말,이제 청소 할 시간이야
반영,맞아 우리가 필요한 굴뚝이야
반영,오리구나
질문,오 그건 무엇이니
질문,무엇을 가지고 놀고 싶니
지시,집을 만드는 건 어때 크게 만들어
일반적인 말,이제 이것도
질문,말이 몇 마리가 있니
반영,네 친구구나
행동 묘사,꼭대기에 있는 탑을 세워주는구나
구체적인 칭찬,멋지게 앉아있는거 잘했어
부정적인 말,네가 이럴 때 나는 좋지 않아
부정적인 말,그렇게 하는거 아니야
지시,내 옆에 의자에 앉아
일반적인 말,그것은 케익이야
지시,이 방을 치워
일반적인 말,여기 춥다
구체적인 칭찬,노래를 잘한다
부정적인 말,선을 넘어가는 건 좋지 않아
일반적인 말,아빠 딸 공주님이야
반영,장난감이 두개가 있구나
지시,그래 그것도 트레이에 올려놔
질문,이걸 내가 사용하면 어때
질문,블럭 가지고 놀래
반영,그것은 빨강이구나
구체적인 칭찬,조용히 놀이를 하는 거 잘했어
지시,크레용을 서랍에 넣어
반영,아주 빠른 레이스카구나
지시,장난감 전부를 정리해
행동 묘사,비누 향을 맡고 있구나
행동 묘사,눕혀 놓았구나
행동 묘사,찰흙을 꽉 쥐고 있구나
지시,자동차를 가지고 놀자
행동 묘사,마커를 사용하기로 했구나
일반적인 말,좋은 아침
일반적인 칭찬,잘했어
질문,내가 이 레고 사람 해도 돼
일반적인 말,나는 어른이야
질문,다음 차례에 해볼래
구체적인 칭찬,이걸 정말 잘 하는구나
일반적인 말,우리는 갈거야
구체적인 칭찬,크레용을 빌려줘서 고마워
지시,상자에서 접시들을 꺼내
반영,이 놀이를 좋아하는구나
행동 묘사,두개의 블럭을 가지고 있구나
구체적인 칭찬,울타리를 만든 것 잘했어
부정적인 말,그것으로 장난치지마
행동 묘사,노란색 꽃을 그리고 있구나
일반적인 칭찬,너무 고마워
행동 묘사,무지개를 열심히 그리고 있구나
지시,정리해
행동 묘사,개를 그리고 있구나
구체적인 칭찬,예절을 잘 지는 것 잘했어
행동 묘사,다른 조각을 찾고 있어
일반적인 칭찬,참 다정하구나
일반적인 말,레고 놀이가 하고 싶어
일반적인 말,맹세해
구체적인 칭찬,색깔을 맞춘 것 잘했어
구체적인 칭찬,청소한 것 잘했어
일반적인 말,내 자동차는 다시 내려놓을게
행동 묘사,아주 빨리 만들고 있구나
반영,에이비시
행동 묘사,장난감을 그 쪽에 두었구나
일반적인 말,아빠가 너와 여동생을 공원에 데려가는구나
지시,계단을 올라가
일반적인 말,사과가 초록색이만 먹어도 안전해
행동 묘사,장난감을 정리했구나
행동 묘사,높이 만들고 있구나
구체적인 칭찬,스스로 장난감들 정리도 하고 멋진 형님이구나
지시,말들어
일반적인 말,이번에 더 잘한 것 같아
질문,그것은 에이니
질문,오 그랬어
행동 묘사,자동차를 움직이고 있구나
부정적인 말,이제 그만 색칠해
일반적인 칭찬,너는 예뻐
구체적인 칭찬,식탁에 와줘서 고마워
질문,데이지야
질문,가장 좋아하는 동물은 뭐니
반영,오 그 모자가 갖고 싶구나
행동 묘사,그것을 보호하려고 가리고 있구나
반영,나는 텝 슈즈를 신고 있어
지시,크레용을 줘
부정적인 말,우주선을 갖고 싶지 않아 그리고 넌 나에게 못 만들어주잖아
일반적인 칭찬,멋지다
일반적인 말,오 도와줄까
반영,언덕이 길구나
지시,그래 이걸 그려
일반적인 말,오늘 할머니께서 우리에게 점심을 만들어주실거야
일반적인 말,바닥에 자동차 한 대가 더 있어
지시,잠깐 잠깐 잠깐
일반적인 말,내 그림은 꽤 별로인거 같아
구체적인 칭찬,멋지게 색칠 했구나
지시,생각해봐
반영,가장 못 된 자동차구나
행동 묘사,너는 블럭을 빼고 있구나
부정적인 말,그만 뛰어다녀
부정적인 말,나무는 파란색이 아니야
일반적인 말,긴 조각을 사용하지 않고 있구나
지시,오케이 버튼을 눌러
질문,그거 어디에 놓아야하는지 기억해
지시,샌드위치에 넣을 토마토를 줄래
일반적인 말,이 요새를 짓기 위해 짧은 조각들을 많이 사용하고 있구나
행동 묘사,방금 내 다리를 쳤어
구체적인 칭찬,만들기를 잘하는구나
일반적인 말,오 빨간색이 보이네
구체적인 칭찬,운전을 잘하네
일반적인 말,에이비시디
일반적인 말,저기에
구체적인 칭찬,네가 만든 멋진 던전에 넣을거니
질문,자동차 줄까
구체적인 칭찬,양보하는 것 잘했어
반영,아빠를 위해 그림을 그렸구나
질문,네가 가장좋아하는 색깔이 뭐야
일반적인 말,너처럼 집을 그릴거야
질문,무슨 의미야
지시,저기 앉아
반영,자동차를 가지고 놀고 싶구나
질문,그것을 줄래
반영,초록색 강아지들이구나
일반적인 말,그 블럭들이 멋져 보이는구나
구체적인 칭찬,그림 고마워
지시,하지만 이제 내려
일반적인 말,그림이 마음에 드는구나
구체적인 칭찬,동그라미를 잘 그렸어
부정적인 말,협박하지마
반영,안돼 알겠어
질문,음식 놀이가 하고 싶구나
일반적인 칭찬,넌 참 똑똑하구나
질문,내가 해볼까
지시,이 놀이 함께 하자
질문,갈 준비 되었니
질문,그게 마음에 드니
일반적인 말,나는 매운게 좋아
지시,그렇게 해
구체적인 칭찬,정리 잘했어
부정적인 말,아니야 못생기지 않았어
부정적인 말,양보하지 않고 있구나
행동 묘사,트렉에서 기차를 밀었어
부정적인 말,네가 안한거 알아
질문,얼마나 빠르니
지시,장난감 모두를 정리해
지시,집의 색깔을 정해
반영,딸기구나
구체적인 칭찬,장난감을 모두 정리한 것 잘했어
지시,해
일반적인 말,깜짝 놀라게 만들었어
지시,해줘
행동 묘사,그릇을 찾았구나
구체적인 칭찬,잘 놀아줘서 고마워
질문,뭐라고 말한거야
지시,선 밖으로 안 나오도록 색칠해
부정적인 말,아니야 그건 제일 길지 않아
부정적인 말,너 정말 바보 같구나
일반적인 말,음 이 장난감이 나와있는 전부야
구체적인 칭찬,동물을 아주 잘 그리는구나
구체적인 칭찬,아주 멋진 비행기를 그렸구나
일반적인 칭찬,잘했어
지시,그 부분 마무리해
지시,걸어
일반적인 말,오 이 공간으로 들어와야해
일반적인 말,동그라미를 이렇게 만들었구나
구체적인 칭찬,멋진 소풍을 만들었구나
행동 묘사,나비를 그렸구나
일반적인 말,내 차는 빨라
일반적인 말,나는 다리를 만들거야
지시,내려놔
행동 묘사,무언가 하려고 하는구나
행동 묘사,빨간색 레고로 타워를 만들고 있구나
반영,블럭이 쓰러졌구나
지시,손 무릎에 놓아
일반적인 말,이것 마치고 공원에 갈 수 있어
행동 묘사,세모 두개를 포개었구나
구체적인 칭찬,멋진 근육들로 그것들을 주웠구나
구체적인 칭찬,우와 방금 멋졌어
구체적인 칭찬,아주 멋지게 블럭을 쌓았어
지시,앉아
일반적인 말,이제 분해 할 시간이야
반영,작은 자동차가 싫구나
질문,방금 크다고 말했니
구체적인 칭찬,네가 만드는 타워가 멋지다
반영,강아지가 엄마를 찾으러 집에 갔는데 아빠가 나와서 뼈다귀 찾는 것을 도와주었구나
일반적인 칭찬,예의바르구나
행동 묘사,진짜 아이스크림처럼 하고 있구나
행동 묘사,얼룩말이 울타리를 넘어갔어
지시,이걸 가지고 놀자
지시,내 방법을 들어
일반적인 말,그녀가 어디갔는지 궁금해하고 있구나
부정적인 말,멈춰
지시,먼저 돌려야 하는 것 같아
지시,앉으렴
부정적인 말,그거 거기가 맞지
구체적인 칭찬,포테이토 헤드에 끼워줘서 고마워
구체적인 칭찬,함께 쓰는 것 잘했어
질문,뭐라고 했니
행동 묘사,분해하고 있구나
질문,그게 뭐지
행동 묘사,춤을 추고 있구나
일반적인 말,나는 파란색 크레용으로 그릴거야
구체적인 칭찬,모자 쓰는 것 잘했어
지시,네가 하면 좋겠어
질문,다음은 뭐지
질문,트럭이 몇개가 있니
일반적인 말,음 찾을 수 있을거야
부정적인 말,왜 계속 그러는거야 하지말라고 했어
일반적인 말,테이블에 장난감이 있네
부정적인 말,안돼
